,Unnamed: 0,CellID,Latitude,Longitude,RSLatitude,RSLongitude,RSDistance,RSCellID,ValidSnap,neighbors,ValidNeighbors
57,57,832636fffffffff,46.493349,-100.983586,46.472778,-100.983708,2287,832636fffffffff,True,"['8327a9fffffffff', '8327abfffffffff', '83278dfffffffff', '832632fffffffff', '832630fffffffff', '832634fffffffff']","['8327a9fffffffff', '8327abfffffffff', '83278dfffffffff', '832632fffffffff', '832630fffffffff', '832634fffffffff']"
58,58,832640fffffffff,38.313667,-89.737557,38.313837,-89.722253,1335,832640fffffffff,True,"['832644fffffffff', '832646fffffffff', '832642fffffffff', '832643fffffffff', '832641fffffffff', '832645fffffffff']","['832644fffffffff', '832646fffffffff', '832642fffffffff', '832643fffffffff', '832641fffffffff', '832645fffffffff']"
59,59,832641fffffffff,37.548438,-88.736011,37.541011,-88.761925,2429,832641fffffffff,True,"['832645fffffffff', '832640fffffffff', '832643fffffffff', '83264efffffffff', '83264cfffffffff', '83266afffffffff']","['832645fffffffff', '832640fffffffff', '832643fffffffff', '83264efffffffff', '83264cfffffffff', '83266afffffffff']"
60,60,832642fffffffff,38.023993,-91.015911,38.069128,-90.975556,6138,832642fffffffff,True,"['832646fffffffff', '832655fffffffff', '832651fffffffff', '83265cfffffffff', '832643fffffffff', '832640fffffffff']","['832646fffffffff', '832655fffffffff', '832651fffffffff', '83265cfffffffff', '832643fffffffff', '832640fffffffff']"
61,61,832643fffffffff,37.265101,-89.99691,37.265043,-89.985632,998,832643fffffffff,True,"['832640fffffffff', '832642fffffffff', '83265cfffffffff', '83265dfffffffff', '83264efffffffff', '832641fffffffff']","['832640fffffffff', '832642fffffffff', '83265cfffffffff', '83265dfffffffff', '83264efffffffff', '832641fffffffff']"
62,62,832644fffffffff,39.350814,-89.473395,39.375413,-89.507454,4007,832644fffffffff,True,"['832662fffffffff', '832671fffffffff', '832646fffffffff', '832640fffffffff', '832645fffffffff', '832663fffffffff']","['832662fffffffff', '832671fffffffff', '832646fffffffff', '832640fffffffff', '832645fffffffff', '832663fffffffff']"
63,63,832645fffffffff,38.585889,-88.465888,38.585572,-88.438801,2355,832645fffffffff,True,"['832663fffffffff', '832644fffffffff', '832640fffffffff', '832641fffffffff', '83266afffffffff', '83266efffffffff']","['832663fffffffff', '832644fffffffff', '832640fffffffff', '832641fffffffff', '83266afffffffff', '83266efffffffff']"
64,64,832646fffffffff,39.072155,-90.763034,39.073149,-90.761926,146,832646fffffffff,True,"['832671fffffffff', '832673fffffffff', '832655fffffffff', '832642fffffffff', '832640fffffffff', '832644fffffffff']","['832671fffffffff', '832673fffffffff', '832655fffffffff', '832642fffffffff', '832640fffffffff', '832644fffffffff']"
65,65,832648fffffffff,35.729611,-88.028913,35.754432,-88.084499,5726,832648fffffffff,True,"['83264cfffffffff', '83264efffffffff', '83264afffffffff', '83264bfffffffff', '832649fffffffff', '83264dfffffffff']","['83264cfffffffff', '83264efffffffff', '83264afffffffff', '83264bfffffffff', '832649fffffffff', '83264dfffffffff']"
66,66,832649fffffffff,34.95507,-87.079439,34.929247,-87.120457,4714,832649fffffffff,True,"['83264dfffffffff', '832648fffffffff', '83264bfffffffff', '8344e9fffffffff', '8344ebfffffffff', '8344cdfffffffff']","['83264dfffffffff', '832648fffffffff', '83264bfffffffff', '8344e9fffffffff', '8344ebfffffffff', '8344cdfffffffff']"
67,67,83264afffffffff,35.441067,-89.261921,35.446546,-89.242818,1835,83264afffffffff,True,"['83264efffffffff', '83265dfffffffff', '832659fffffffff', '83445bfffffffff', '83264bfffffffff', '832648fffffffff']","['83264efffffffff', '83265dfffffffff', '832659fffffffff', '83445bfffffffff', '83264bfffffffff', '832648fffffffff']"
68,68,83264bfffffffff,34.671717,-88.294969,34.652892,-88.293209,2099,83264bfffffffff,True,"['832648fffffffff', '83264afffffffff', '83445bfffffffff', '83445afffffffff', '8344e9fffffffff', '832649fffffffff']","['832648fffffffff', '83264afffffffff', '83445bfffffffff', '83445afffffffff', '8344e9fffffffff', '832649fffffffff']"
69,69,83264cfffffffff,36.777507,-87.758157,36.771672,-87.803108,4056,83264cfffffffff,True,"['83266afffffffff', '832641fffffffff', '83264efffffffff', '832648fffffffff', '83264dfffffffff', '83266bfffffffff']","['83266afffffffff', '832641fffffffff', '83264efffffffff', '832648fffffffff', '83264dfffffffff', '83266bfffffffff']"
70,70,83264dfffffffff,36.0019,-86.803716,36.003062,-86.80724,342,83264dfffffffff,True,"['83266bfffffffff', '83264cfffffffff', '832648fffffffff', '832649fffffffff', '8344cdfffffffff', '8344c9fffffffff']","['83266bfffffffff', '83264cfffffffff', '832648fffffffff', '832649fffffffff', '8344cdfffffffff', '8344c9fffffffff']"
71,71,83264efffffffff,36.499962,-89.001316,36.502806,-89.001289,316,83264efffffffff,True,"['832641fffffffff', '832643fffffffff', '83265dfffffffff', '83264afffffffff', '832648fffffffff', '83264cfffffffff']","['832641fffffffff', '832643fffffffff', '83265dfffffffff', '83264afffffffff', '832648fffffffff', '83264cfffffffff']"
72,72,832650fffffffff,38.460991,-93.358457,38.479209,-93.357715,2027,832650fffffffff,True,"['832654fffffffff', '832656fffffffff', '832652fffffffff', '832653fffffffff', '832651fffffffff', '832655fffffffff']","['832654fffffffff', '832656fffffffff', '832652fffffffff', '832653fffffffff', '832651fffffffff', '832655fffffffff']"
73,73,832651fffffffff,37.716717,-92.299719,37.719972,-92.296897,439,832651fffffffff,True,"['832655fffffffff', '832650fffffffff', '832653fffffffff', '83265efffffffff', '83265cfffffffff', '832642fffffffff']","['832655fffffffff', '832650fffffffff', '832653fffffffff', '83265efffffffff', '83265cfffffffff', '832642fffffffff']"
74,74,832652fffffffff,38.128292,-94.661629,38.145572,-94.705907,4323,832652fffffffff,True,"['832656fffffffff', '8326e5fffffffff', '8326e1fffffffff', '8326ecfffffffff', '832653fffffffff', '832650fffffffff']","['832656fffffffff', '8326e5fffffffff', '8326e1fffffffff', '8326ecfffffffff', '832653fffffffff', '832650fffffffff']"
75,75,832653fffffffff,37.391746,-93.587722,37.387727,-93.581133,734,832653fffffffff,True,"['832650fffffffff', '832652fffffffff', '8326ecfffffffff', '8326edfffffffff', '83265efffffffff', '832651fffffffff']","['832650fffffffff', '832652fffffffff', '8326ecfffffffff', '8326edfffffffff', '83265efffffffff', '832651fffffffff']"
76,76,832654fffffffff,39.518839,-93.124748,39.5227,-93.145118,1799,832654fffffffff,True,"['832672fffffffff', '832609fffffffff', '832656fffffffff', '832650fffffffff', '832655fffffffff', '832673fffffffff']","['832672fffffffff', '832609fffffffff', '832656fffffffff', '832650fffffffff', '832655fffffffff', '832673fffffffff']"
77,77,832655fffffffff,38.775589,-92.058486,38.765716,-92.041396,1844,832655fffffffff,True,"['832673fffffffff', '832654fffffffff', '832650fffffffff', '832651fffffffff', '832642fffffffff', '832646fffffffff']","['832673fffffffff', '832654fffffffff', '832650fffffffff', '832651fffffffff', '832642fffffffff', '832646fffffffff']"
78,78,832656fffffffff,39.196373,-94.440375,39.207581,-94.43614,1299,832656fffffffff,True,"['832609fffffffff', '83260bfffffffff', '8326e5fffffffff', '832652fffffffff', '832650fffffffff', '832654fffffffff']","['832609fffffffff', '83260bfffffffff', '8326e5fffffffff', '832652fffffffff', '832650fffffffff', '832654fffffffff']"
79,79,832658fffffffff,35.894607,-91.507791,35.886882,-91.551933,4068,832658fffffffff,True,"['83265cfffffffff', '83265efffffffff', '83265afffffffff', '83265bfffffffff', '832659fffffffff', '83265dfffffffff']","['83265cfffffffff', '83265efffffffff', '83265afffffffff', '83265bfffffffff', '832659fffffffff', '83265dfffffffff']"
80,80,832659fffffffff,35.136116,-90.501665,35.132256,-90.501469,430,832659fffffffff,True,"['83265dfffffffff', '832658fffffffff', '83265bfffffffff', '834459fffffffff', '83445bfffffffff', '83264afffffffff']","['83265dfffffffff', '832658fffffffff', '83265bfffffffff', '834459fffffffff', '83445bfffffffff', '83264afffffffff']"
81,81,83265afffffffff,35.566581,-92.768795,35.63382,-92.721695,8604,83265afffffffff,True,"['83265efffffffff', '8326edfffffffff', '8326e9fffffffff', '83444bfffffffff', '83265bfffffffff', '832658fffffffff']","['83265efffffffff', '8326edfffffffff', '8326e9fffffffff', '83444bfffffffff', '83265bfffffffff', '832658fffffffff']"
82,82,83265bfffffffff,34.814655,-91.747028,34.814727,-91.749959,268,83265bfffffffff,True,"['832658fffffffff', '83265afffffffff', '83444bfffffffff', '83444afffffffff', '834459fffffffff', '832659fffffffff']","['832658fffffffff', '83265afffffffff', '83444bfffffffff', '83444afffffffff', '834459fffffffff', '832659fffffffff']"
83,83,83265cfffffffff,36.964605,-91.264123,36.972205,-91.26395,845,83265cfffffffff,True,"['832642fffffffff', '832651fffffffff', '83265efffffffff', '832658fffffffff', '83265dfffffffff', '832643fffffffff']","['832642fffffffff', '832651fffffffff', '83265efffffffff', '832658fffffffff', '83265dfffffffff', '832643fffffffff']"
84,84,83265dfffffffff,36.205707,-90.251574,36.215686,-90.251696,1110,83265dfffffffff,True,"['832643fffffffff', '83265cfffffffff', '832658fffffffff', '832659fffffffff', '83264afffffffff', '83264efffffffff']","['832643fffffffff', '83265cfffffffff', '832658fffffffff', '832659fffffffff', '83264afffffffff', '83264efffffffff']"
85,85,83265efffffffff,36.646834,-92.53645,36.672537,-92.506012,3942,83265efffffffff,True,"['832651fffffffff', '832653fffffffff', '8326edfffffffff', '83265afffffffff', '832658fffffffff', '83265cfffffffff']","['832651fffffffff', '832653fffffffff', '8326edfffffffff', '83265afffffffff', '832658fffffffff', '83265cfffffffff']"
86,86,832660fffffffff,40.567747,-87.746012,40.568889,-87.693905,4403,832660fffffffff,True,"['832664fffffffff', '832666fffffffff', '832662fffffffff', '832663fffffffff', '832661fffffffff', '832665fffffffff']","['832664fffffffff', '832666fffffffff', '832662fffffffff', '832663fffffffff', '832661fffffffff', '832665fffffffff']"
87,87,832661fffffffff,39.792791,-86.763152,39.7612,-86.762422,3513,832661fffffffff,True,"['832665fffffffff', '832660fffffffff', '832663fffffffff', '83266efffffffff', '83266cfffffffff', '832a92fffffffff']","['832665fffffffff', '832660fffffffff', '832663fffffffff', '83266efffffffff', '83266cfffffffff', '832a92fffffffff']"
88,88,832662fffffffff,40.350167,-89.143643,40.344094,-89.134779,1010,832662fffffffff,True,"['832666fffffffff', '832675fffffffff', '832671fffffffff', '832644fffffffff', '832663fffffffff', '832660fffffffff']","['832666fffffffff', '832675fffffffff', '832671fffffffff', '832644fffffffff', '832663fffffffff', '832660fffffffff']"
89,89,832663fffffffff,39.590317,-88.146111,39.590385,-88.177208,2665,832663fffffffff,True,"['832660fffffffff', '832662fffffffff', '832644fffffffff', '832645fffffffff', '83266efffffffff', '832661fffffffff']","['832660fffffffff', '832662fffffffff', '832644fffffffff', '832645fffffffff', '83266efffffffff', '832661fffffffff']"
90,90,832664fffffffff,41.557241,-87.328278,41.557121,-87.336544,688,832664fffffffff,True,"['83274afffffffff', '832759fffffffff', '832666fffffffff', '832660fffffffff', '832665fffffffff', '83274bfffffffff']","['83274afffffffff', '832759fffffffff', '832666fffffffff', '832660fffffffff', '832665fffffffff', '83274bfffffffff']"
91,91,832665fffffffff,40.769594,-86.330692,40.764531,-86.338349,856,832665fffffffff,True,"['83274bfffffffff', '832664fffffffff', '832660fffffffff', '832661fffffffff', '832a92fffffffff', '832a96fffffffff']","['83274bfffffffff', '832664fffffffff', '832660fffffffff', '832661fffffffff', '832a92fffffffff', '832a96fffffffff']"
92,92,832666fffffffff,41.339856,-88.759354,41.344403,-88.757762,523,832666fffffffff,True,"['832759fffffffff', '83275bfffffffff', '832675fffffffff', '832662fffffffff', '832660fffffffff', '832664fffffffff']","['832759fffffffff', '83275bfffffffff', '832675fffffffff', '832662fffffffff', '832660fffffffff', '832664fffffffff']"
93,93,832668fffffffff,38.064363,-86.237767,38.053539,-86.254538,1899,832668fffffffff,True,"['83266cfffffffff', '83266efffffffff', '83266afffffffff', '83266bfffffffff', '832669fffffffff', '83266dfffffffff']","['83266cfffffffff', '83266efffffffff', '83266afffffffff', '83266bfffffffff', '832669fffffffff', '83266dfffffffff']"
94,94,832669fffffffff,37.283262,-85.297486,37.28966,-85.24683,4538,832669fffffffff,True,"['83266dfffffffff', '832668fffffffff', '83266bfffffffff', '8344c9fffffffff', '8344cbfffffffff', '832a9afffffffff']","['83266dfffffffff', '832668fffffffff', '83266bfffffffff', '8344c9fffffffff', '8344cbfffffffff', '832a9afffffffff']"
95,95,83266afffffffff,37.814785,-87.482589,37.814865,-87.48261,9,83266afffffffff,True,"['83266efffffffff', '832645fffffffff', '832641fffffffff', '83264cfffffffff', '83266bfffffffff', '832668fffffffff']","['83266efffffffff', '832645fffffffff', '832641fffffffff', '83264cfffffffff', '83266bfffffffff', '832668fffffffff']"
96,96,83266bfffffffff,37.038529,-86.523196,37.027996,-86.535799,1620,83266bfffffffff,True,"['832668fffffffff', '83266afffffffff', '83264cfffffffff', '83264dfffffffff', '8344c9fffffffff', '832669fffffffff']","['832668fffffffff', '83266afffffffff', '83264cfffffffff', '83264dfffffffff', '8344c9fffffffff', '832669fffffffff']"
97,97,83266cfffffffff,39.016079,-85.809971,39.016048,-85.835445,2201,83266cfffffffff,True,"['832a92fffffffff', '832661fffffffff', '83266efffffffff', '832668fffffffff', '83266dfffffffff', '832a93fffffffff']","['832a92fffffffff', '832661fffffffff', '83266efffffffff', '832668fffffffff', '83266dfffffffff', '832a93fffffffff']"
98,98,83266dfffffffff,38.238655,-84.885651,38.238963,-84.857691,2442,83266dfffffffff,True,"['832a93fffffffff', '83266cfffffffff', '832668fffffffff', '832669fffffffff', '832a9afffffffff', '832a9efffffffff']","['832a93fffffffff', '83266cfffffffff', '832668fffffffff', '832669fffffffff', '832a9afffffffff', '832a9efffffffff']"
