,Unnamed: 0,CellID,Latitude,Longitude,RSLatitude,RSLongitude,RSDistance,RSCellID,ValidSnap,neighbors,ValidNeighbors
4284,4284,8448c1dffffffff,32.976508,-108.503922,32.964276,-108.57747,6995,8448c1dffffffff,True,"['8448c57ffffffff', '8448c0bffffffff', '8448c03ffffffff', '8448c15ffffffff', '8448c11ffffffff', '8448c19ffffffff']","['8448c57ffffffff', '8448c0bffffffff', '8448c03ffffffff', '8448c15ffffffff', '8448c11ffffffff', '8448c19ffffffff']"
4285,4285,8448c21ffffffff,33.19405,-106.412988,33.153743,-106.169697,23083,8448c21ffffffff,True,"['8448c29ffffffff', '8448c2dffffffff', '8448c25ffffffff', '8448c27ffffffff', '8448c23ffffffff', '8448c2bffffffff']","['8448c29ffffffff', '8448c2dffffffff', '8448c25ffffffff', '8448c27ffffffff', '8448c23ffffffff', '8448c2bffffffff']"
4286,4286,8448c23ffffffff,33.543697,-106.729982,33.76583,-106.909732,29781,8448c35ffffffff,False,"['8448c2bffffffff', '8448c21ffffffff', '8448c27ffffffff', '8448dc9ffffffff', '8448c35ffffffff', '8448c3dffffffff']","['8448c2bffffffff', '8448c21ffffffff', '8448c27ffffffff', '8448dc9ffffffff', '8448c35ffffffff', '8448c3dffffffff']"
4287,4287,8448c25ffffffff,33.242894,-105.889476,33.161822,-105.870465,9187,8448c25ffffffff,True,"['8448c2dffffffff', '8448d53ffffffff', '8448d19ffffffff', '8448d1bffffffff', '8448c27ffffffff', '8448c21ffffffff']","['8448c2dffffffff', '8448d53ffffffff', '8448d19ffffffff', '8448d1bffffffff', '8448c27ffffffff', '8448c21ffffffff']"
4288,4288,8448c27ffffffff,33.593701,-106.204847,33.510272,-106.043309,17611,8448c27ffffffff,True,"['8448c21ffffffff', '8448c25ffffffff', '8448d1bffffffff', '8448dcdffffffff', '8448dc9ffffffff', '8448c23ffffffff']","['8448c21ffffffff', '8448c25ffffffff', '8448d1bffffffff', '8448dcdffffffff', '8448dc9ffffffff', '8448c23ffffffff']"
4289,4289,8448c29ffffffff,32.79313,-106.619713,32.632893,-106.32924,32496,8448c67ffffffff,False,"['8448c63ffffffff', '8448c67ffffffff', '8448c2dffffffff', '8448c21ffffffff', '8448c2bffffffff', '8448c05ffffffff']","['8448c63ffffffff', '8448c67ffffffff', '8448c2dffffffff', '8448c21ffffffff', '8448c2bffffffff', '8448c05ffffffff']"
4290,4290,8448c2bffffffff,33.142981,-106.936276,33.156504,-107.19416,24055,8448c2bffffffff,True,"['8448c05ffffffff', '8448c29ffffffff', '8448c21ffffffff', '8448c23ffffffff', '8448c3dffffffff', '8448c07ffffffff']","['8448c05ffffffff', '8448c29ffffffff', '8448c21ffffffff', '8448c23ffffffff', '8448c3dffffffff', '8448c07ffffffff']"
4291,4291,8448c2dffffffff,32.843044,-106.098016,32.837042,-106.091498,903,8448c2dffffffff,True,"['8448c67ffffffff', '8448d5bffffffff', '8448d53ffffffff', '8448c25ffffffff', '8448c21ffffffff', '8448c29ffffffff']","['8448c67ffffffff', '8448d5bffffffff', '8448d53ffffffff', '8448c25ffffffff', '8448c21ffffffff', '8448c29ffffffff']"
4292,4292,8448c31ffffffff,33.838472,-107.575399,33.793874,-107.675975,10532,8448c31ffffffff,True,"['8448c39ffffffff', '8448c3dffffffff', '8448c35ffffffff', '8448c37ffffffff', '8448c33ffffffff', '8448c3bffffffff']","['8448c39ffffffff', '8448c3dffffffff', '8448c35ffffffff', '8448c37ffffffff', '8448c33ffffffff', '8448c3bffffffff']"
4293,4293,8448c33ffffffff,34.184008,-107.897957,34.185552,-107.894526,359,8448c33ffffffff,True,"['8448c3bffffffff', '8448c31ffffffff', '8448c37ffffffff', '8448dd9ffffffff', '8448ce5ffffffff', '8448cedffffffff']","['8448c3bffffffff', '8448c31ffffffff', '8448c37ffffffff', '8448dd9ffffffff', '8448ce5ffffffff', '8448cedffffffff']"
4294,4294,8448c35ffffffff,33.891932,-107.048998,33.844889,-106.917357,13232,8448c35ffffffff,True,"['8448c3dffffffff', '8448c23ffffffff', '8448dc9ffffffff', '8448dcbffffffff', '8448c37ffffffff', '8448c31ffffffff']","['8448c3dffffffff', '8448c23ffffffff', '8448dc9ffffffff', '8448dcbffffffff', '8448c37ffffffff', '8448c31ffffffff']"
4295,4295,8448c37ffffffff,34.238703,-107.370035,34.095543,-107.328173,16378,8448c37ffffffff,True,"['8448c31ffffffff', '8448c35ffffffff', '8448dcbffffffff', '8448dddffffffff', '8448dd9ffffffff', '8448c33ffffffff']","['8448c31ffffffff', '8448c35ffffffff', '8448dcbffffffff', '8448dddffffffff', '8448dd9ffffffff', '8448c33ffffffff']"
4296,4296,8448c39ffffffff,33.436954,-107.779327,33.467556,-107.806605,4241,8448c39ffffffff,True,"['8448c03ffffffff', '8448c07ffffffff', '8448c3dffffffff', '8448c31ffffffff', '8448c3bffffffff', '8448c15ffffffff']","['8448c03ffffffff', '8448c07ffffffff', '8448c3dffffffff', '8448c31ffffffff', '8448c3bffffffff', '8448c15ffffffff']"
4297,4297,8448c3bffffffff,33.78275,-108.101377,33.926913,-108.151472,16684,8448c3bffffffff,True,"['8448c15ffffffff', '8448c39ffffffff', '8448c31ffffffff', '8448c33ffffffff', '8448cedffffffff', '8448c17ffffffff']","['8448c15ffffffff', '8448c39ffffffff', '8448c31ffffffff', '8448c33ffffffff', '8448cedffffffff', '8448c17ffffffff']"
4298,4298,8448c3dffffffff,33.491445,-107.254838,33.484782,-107.241056,1477,8448c3dffffffff,True,"['8448c07ffffffff', '8448c2bffffffff', '8448c23ffffffff', '8448c35ffffffff', '8448c31ffffffff', '8448c39ffffffff']","['8448c07ffffffff', '8448c2bffffffff', '8448c23ffffffff', '8448c35ffffffff', '8448c31ffffffff', '8448c39ffffffff']"
4299,4299,8448c43ffffffff,31.877347,-108.064031,31.831756,-108.089825,5624,8448c43ffffffff,True,"['8448c4bffffffff', '8448c41ffffffff', '8448c47ffffffff', '8448c09ffffffff', '8448c55ffffffff', '8448c5dffffffff']","['8448c4bffffffff', '8448c47ffffffff', '8448c09ffffffff', '8448c55ffffffff', '8448c5dffffffff']"
4300,4300,8448c45ffffffff,31.583247,-107.23148,31.790043,-107.220867,23017,8448c45ffffffff,True,"['8448c4dffffffff', '8448f13ffffffff', '8448c69ffffffff', '8448c6bffffffff', '8448c47ffffffff', '8448c41ffffffff']","['8448c69ffffffff', '8448c6bffffffff', '8448c47ffffffff']"
4301,4301,8448c47ffffffff,31.933573,-107.546693,31.90945,-107.663559,11351,8448c47ffffffff,True,"['8448c41ffffffff', '8448c45ffffffff', '8448c6bffffffff', '8448c0dffffffff', '8448c09ffffffff', '8448c43ffffffff']","['8448c45ffffffff', '8448c6bffffffff', '8448c0dffffffff', '8448c09ffffffff', '8448c43ffffffff']"
4302,4302,8448c4bffffffff,31.471036,-108.262836,31.563414,-108.497546,24505,8448c4bffffffff,True,"['8448e35ffffffff', '8448c49ffffffff', '8448c41ffffffff', '8448c43ffffffff', '8448c5dffffffff', '8448e37ffffffff']","['8448c43ffffffff', '8448c5dffffffff', '8448e37ffffffff']"
4303,4303,8448c51ffffffff,32.165628,-108.900811,32.165614,-108.879047,2049,8448c51ffffffff,True,"['8448c59ffffffff', '8448c5dffffffff', '8448c55ffffffff', '8448c57ffffffff', '8448c53ffffffff', '8448c5bffffffff']","['8448c59ffffffff', '8448c5dffffffff', '8448c55ffffffff', '8448c57ffffffff', '8448c53ffffffff', '8448c5bffffffff']"
4304,4304,8448c53ffffffff,32.510838,-109.222622,32.658976,-109.068454,21908,8448c53ffffffff,True,"['8448c5bffffffff', '8448c51ffffffff', '8448c57ffffffff', '8448c19ffffffff', '8448ea5ffffffff', '8448eadffffffff']","['8448c5bffffffff', '8448c51ffffffff', '8448c57ffffffff', '8448c19ffffffff', '8448ea5ffffffff', '8448eadffffffff']"
4305,4305,8448c55ffffffff,32.225176,-108.382597,32.194206,-108.409592,4279,8448c55ffffffff,True,"['8448c5dffffffff', '8448c43ffffffff', '8448c09ffffffff', '8448c0bffffffff', '8448c57ffffffff', '8448c51ffffffff']","['8448c5dffffffff', '8448c43ffffffff', '8448c09ffffffff', '8448c0bffffffff', '8448c57ffffffff', '8448c51ffffffff']"
4306,4306,8448c57ffffffff,32.571622,-108.703069,32.572361,-108.732661,2774,8448c57ffffffff,True,"['8448c51ffffffff', '8448c55ffffffff', '8448c0bffffffff', '8448c1dffffffff', '8448c19ffffffff', '8448c53ffffffff']","['8448c51ffffffff', '8448c55ffffffff', '8448c0bffffffff', '8448c1dffffffff', '8448c19ffffffff', '8448c53ffffffff']"
